invoice_id,vendor,invoice_date,amount
INV001,XYZ Technologies,2026-08-01,10000
INV002,DEF Solutions,2026-08-05,7500
INV003,XYZ Technologies,2026-08-19,15000
INV004,ABC Supplies,2026-08-03,9500
INV005,Green Energy,2026-08-20,5000
INV006,DEF Solutions,2026-08-23,30000
INV007,Smart Systems,2026-08-08,18000
INV008,LMN Traders,2026-08-26,5000
INV009,Smart Systems,2026-08-11,10000
INV010,DEF Solutions,2026-08-31,12000
INV011,XYZ Technologies,2026-08-13,7500
INV012,Global Office,2026-08-20,10000
INV013,Prime Logistics,2026-08-18,7500
INV014,XYZ Technologies,2026-08-18,10000
INV015,Global Office,2026-08-19,9500
INV016,ABC Supplies,2026-08-22,9500
INV017,XYZ Technologies,2026-08-28,9500
INV018,Smart Systems,2026-08-09,18000
INV019,PQR Services,2026-08-12,12000
INV020,LMN Traders,2026-08-23,30000
INV021,Metro Services,2026-08-21,8000
INV022,DEF Solutions,2026-08-06,18000
INV023,LMN Traders,2026-08-30,30000
INV024,DEF Solutions,2026-08-22,12000
INV025,DEF Solutions,2026-08-27,5000
INV026,Smart Systems,2026-08-09,7500
INV027,Metro Services,2026-08-29,12000
INV028,Prime Logistics,2026-08-13,30000
INV029,PQR Services,2026-08-09,8000
INV030,Green Energy,2026-08-18,10000
INV031,Smart Systems,2026-08-29,25000
INV032,Global Office,2026-08-08,8000
INV033,Prime Logistics,2026-08-03,5000
INV034,PQR Services,2026-08-21,8000
INV035,Metro Services,2026-08-03,15000
INV036,Metro Services,2026-08-15,20000
INV037,Green Energy,2026-08-28,5000
INV038,Green Energy,2026-08-25,10000
INV039,XYZ Technologies,2026-08-10,15000
INV040,Prime Logistics,2026-08-01,10000
INV041,PQR Services,2026-08-17,7500
INV042,Green Energy,2026-08-20,9500
INV043,Global Office,2026-08-25,8000
INV044,Green Energy,2026-08-30,5000
INV045,Global Office,2026-08-16,5000
INV046,Global Office,2026-08-29,10000
INV047,ABC Supplies,2026-08-08,25000
INV048,XYZ Technologies,2026-08-24,18000
INV049,Green Energy,2026-08-25,8000
INV050,Prime Logistics,2026-08-31,20000
INV051,LMN Traders,2026-08-17,25000
INV052,DEF Solutions,2026-08-30,20000
INV053,LMN Traders,2026-08-13,30000
INV054,Prime Logistics,2026-08-29,20000
INV055,XYZ Technologies,2026-08-08,9500
INV056,Global Office,2026-08-01,25000
INV057,DEF Solutions,2026-08-19,9500
INV058,XYZ Technologies,2026-08-23,30000
INV059,DEF Solutions,2026-08-03,5000
INV060,XYZ Technologies,2026-08-17,9500
INV061,Prime Logistics,2026-08-07,20000
INV062,Metro Services,2026-08-19,18000
INV063,Prime Logistics,2026-08-26,15000
INV064,XYZ Technologies,2026-08-04,30000
INV065,Global Office,2026-08-14,15000
INV066,ABC Supplies,2026-08-22,30000
INV067,ABC Supplies,2026-08-13,12000
INV068,DEF Solutions,2026-08-07,9500
INV069,Prime Logistics,2026-08-05,15000
INV070,LMN Traders,2026-08-15,9500
INV071,Prime Logistics,2026-08-26,20000
INV072,ABC Supplies,2026-08-21,20000
INV073,XYZ Technologies,2026-08-30,9500
INV074,Smart Systems,2026-08-16,18000
INV075,Smart Systems,2026-08-29,5000
INV076,Smart Systems,2026-08-01,15000
INV077,LMN Traders,2026-08-14,20000
INV078,DEF Solutions,2026-08-10,9500
INV079,Green Energy,2026-08-02,12000
INV080,Metro Services,2026-08-16,20000
INV081,ABC Supplies,2026-08-31,20000
INV082,XYZ Technologies,2026-08-20,7500
INV083,XYZ Technologies,2026-08-31,25000
INV084,Metro Services,2026-08-02,25000
INV085,Metro Services,2026-08-19,20000
INV086,DEF Solutions,2026-08-22,12000
INV087,DEF Solutions,2026-08-09,15000
INV088,PQR Services,2026-08-22,30000
INV089,LMN Traders,2026-08-15,12000
INV090,XYZ Technologies,2026-08-01,18000
INV091,Metro Services,2026-08-19,7500
INV092,Green Energy,2026-08-07,20000
INV093,PQR Services,2026-08-30,12000
INV094,DEF Solutions,2026-08-12,10000
INV095,Prime Logistics,2026-08-27,20000
INV096,Metro Services,2026-08-26,30000
INV097,ABC Supplies,2026-08-22,20000
INV098,XYZ Technologies,2026-08-31,8000
INV099,XYZ Technologies,2026-08-29,7500
INV100,PQR Services,2026-08-09,10000
