payment_id,invoice_id,vendor,payment_date,amount
PAY001,INV001,XYZ Technologies,2026-08-05,10000
PAY002,INV002,DEF Solutions,2026-08-14,7500
PAY003,INV003,XYZ Technologies,2026-08-20,15000
PAY004,INV004,ABC Supplies,2026-08-07,9500
PAY005,INV005,Green Energy,2026-08-29,5000
PAY006,INV006,DEF Solutions,2026-09-01,30000
PAY007,INV007,Smart Systems,2026-08-18,18000
PAY008,INV008,LMN Traders,2026-08-29,5000
PAY009,INV009,Smart Systems,2026-08-14,10000
PAY010,INV010,DEF Solutions,2026-09-02,12000
PAY011,INV011,XYZ Technologies,2026-08-19,7500
PAY012,INV012,Global Office,2026-08-21,10000
PAY013,INV013,Prime Logistics,2026-08-25,7500
PAY014,INV014,XYZ Technologies,2026-08-28,10000
PAY015,INV015,Global Office,2026-08-21,9500
PAY016,INV016,ABC Supplies,2026-08-27,9500
PAY017,INV017,XYZ Technologies,2026-08-30,9500
PAY018,INV018,Smart Systems,2026-08-15,18000
PAY019,INV019,PQR Services,2026-08-16,12000
PAY020,INV020,LMN Traders,2026-08-25,30000
PAY021,INV021,Metro Services,2026-08-30,8000
PAY022,INV022,DEF Solutions,2026-08-13,18000
PAY023,INV023,LMN Traders,2026-09-08,30000
PAY024,INV024,DEF Solutions,2026-08-23,12000
PAY025,INV025,DEF Solutions,2026-09-02,5000
PAY026,INV026,Smart Systems,2026-08-13,7500
PAY027,INV027,Metro Services,2026-09-02,12000
PAY028,INV028,Prime Logistics,2026-08-21,30000
PAY029,INV029,PQR Services,2026-08-13,8000
PAY030,INV030,Green Energy,2026-08-28,10000
PAY031,INV031,Smart Systems,2026-09-05,25000
PAY032,INV032,Global Office,2026-08-17,8000
PAY033,INV033,Prime Logistics,2026-08-05,5000
PAY034,INV034,PQR Services,2026-08-28,8000
PAY035,INV035,Metro Services,2026-08-10,15000
PAY036,INV036,Metro Services,2026-08-20,20000
PAY037,INV037,Green Energy,2026-08-30,5000
PAY038,INV038,Green Energy,2026-08-31,10000
PAY039,INV039,XYZ Technologies,2026-08-13,15000
PAY040,INV040,Prime Logistics,2026-08-10,10000
PAY041,INV041,PQR Services,2026-08-22,7500
PAY042,INV042,Green Energy,2026-08-23,9500
PAY043,INV043,Global Office,2026-09-03,8000
PAY044,INV044,Green Energy,2026-09-09,5000
PAY045,INV045,Global Office,2026-08-18,5000
PAY046,INV046,Global Office,2026-09-02,10000
PAY047,INV047,ABC Supplies,2026-08-10,25000
PAY048,INV048,XYZ Technologies,2026-08-26,18000
PAY049,INV049,Green Energy,2026-08-28,8000
PAY050,INV050,Prime Logistics,2026-09-03,20000
PAY051,INV051,LMN Traders,2026-08-24,25000
PAY052,INV052,DEF Solutions,2026-09-03,20000
PAY053,INV053,LMN Traders,2026-08-19,30000
PAY054,INV054,Prime Logistics,2026-09-06,20000
PAY055,INV055,XYZ Technologies,2026-08-10,9500
PAY056,INV056,Global Office,2026-08-10,25000
PAY057,INV057,DEF Solutions,2026-08-20,9500
PAY058,INV058,XYZ Technologies,2026-08-24,30000
PAY059,INV059,DEF Solutions,2026-08-09,5000
PAY060,INV060,XYZ Technologies,2026-08-22,9500
PAY061,INV061,Prime Logistics,2026-08-10,20000
PAY062,INV062,Metro Services,2026-08-23,18000
PAY063,INV063,Prime Logistics,2026-08-30,15000
PAY064,INV064,XYZ Technologies,2026-08-11,30000
PAY065,INV065,Global Office,2026-08-22,15000
PAY066,INV066,ABC Supplies,2026-08-24,30000
PAY067,INV067,ABC Supplies,2026-08-15,12000
PAY068,INV068,DEF Solutions,2026-08-16,9500
PAY069,INV069,Prime Logistics,2026-08-08,15000
PAY070,INV070,LMN Traders,2026-08-17,9500
PAY071,INV071,Prime Logistics,2026-08-28,20000
PAY072,INV072,ABC Supplies,2026-08-22,20000
PAY073,INV073,XYZ Technologies,2026-09-02,9500
PAY074,INV074,Smart Systems,2026-08-20,18000
PAY075,INV075,Smart Systems,2026-09-01,5000
PAY076,INV076,Smart Systems,2026-08-06,13000
PAY077,INV077,LMN Traders,2026-08-22,19000
PAY078,INV078,DEF Solutions,2026-08-11,4500
PAY079,INV079,Green Energy,2026-08-03,11000
PAY080,INV080,Metro Services,2026-08-25,19000
PAY081,INV081,ABC Supplies,2026-09-02,19000
PAY082,INV082,XYZ Technologies,2026-08-24,5500
PAY083,INV083,XYZ Technologies,2026-09-04,20000
PAY084,INV084,Metro Services,2026-08-04,23000
PAY085,INV085,Metro Services,2026-08-25,18000
PAY091,INV091,Metro Services,2026-08-21,7500
PAY091D,INV091,Metro Services,2026-08-22,7500
PAY092,INV092,Green Energy,2026-08-12,20000
PAY092D,INV092,Green Energy,2026-08-13,20000
PAY093,INV093,PQR Services,2026-09-01,12000
PAY093D,INV093,PQR Services,2026-09-02,12000
PAY094,INV094,DEF Solutions,2026-08-15,10000
PAY094D,INV094,DEF Solutions,2026-08-16,10000
PAY095,INV095,Prime Logistics,2026-09-01,20000
PAY095D,INV095,Prime Logistics,2026-09-02,20000
PAY096,INV096,Metro Services,2026-09-04,30000
PAY096D,INV096,Metro Services,2026-09-05,30000
PAY097,INV097,ABC Supplies,2026-08-27,20000
PAY097D,INV097,ABC Supplies,2026-08-28,20000
PAY098,INV098,XYZ Technologies,2026-09-05,8000
PAY098D,INV098,XYZ Technologies,2026-09-06,8000
PAY099,INV099,XYZ Technologies,2026-09-07,7500
PAY099D,INV099,XYZ Technologies,2026-09-08,7500
PAY100,INV100,PQR Services,2026-08-19,10000
PAY100D,INV100,PQR Services,2026-08-20,10000
