Invoice,Vendor,Invoice Amount,Status,Priority,Financial Impact,Explanation,Recommended Action
INV001,XYZ Technologies,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV002,DEF Solutions,7500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV003,XYZ Technologies,15000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV004,ABC Supplies,9500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV005,Green Energy,5000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV006,DEF Solutions,30000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV007,Smart Systems,18000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV008,LMN Traders,5000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV009,Smart Systems,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV010,DEF Solutions,12000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV011,XYZ Technologies,7500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV012,Global Office,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV013,Prime Logistics,7500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV014,XYZ Technologies,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV015,Global Office,9500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV016,ABC Supplies,9500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV017,XYZ Technologies,9500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV018,Smart Systems,18000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV019,PQR Services,12000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV020,LMN Traders,30000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV021,Metro Services,8000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV022,DEF Solutions,18000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV023,LMN Traders,30000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV024,DEF Solutions,12000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV025,DEF Solutions,5000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV026,Smart Systems,7500,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV027,Metro Services,12000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV028,Prime Logistics,30000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV029,PQR Services,8000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV030,Green Energy,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV031,Smart Systems,25000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV032,Global Office,8000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV033,Prime Logistics,5000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV034,PQR Services,8000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV035,Metro Services,15000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV036,Metro Services,20000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV037,Green Energy,5000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV038,Green Energy,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV039,XYZ Technologies,15000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
INV040,Prime Logistics,10000,MATCHED,LOW,0,Invoice amount and payment amount match exactly.,No action required.
